--- Stage 1 Parameters ---
R_ohm,1.146257e-01
L_ind,0.000000e+00
--- Stage 2 Peak Parameters ---
Peak_1_R,1.002651e-01
Peak_1_C,2.169556e-01
Peak_1_frequency,7.316433e+00
Peak_2_R,1.002651e-01
Peak_2_C,6.672118e+00
Peak_2_frequency,2.379066e-01
Peak_3_R,1.002651e-01
Peak_3_C,2.051902e+02
Peak_3_frequency,7.735949e-03

--- Frequency-Time Domain Peak Fitting Curves Block ---
tau (s),ln(tau),gamma_raw,gamma_fitted_total,gamma_peak_1,gamma_peak_2,gamma_peak_3
1.992103e-01,-1.613394e+00,8.902495e-03,1.697161e-02,1.083720e-03,1.588789e-02,2.525451e-09
2.123962e-01,-1.549302e+00,8.608061e-03,1.874502e-02,8.653764e-04,1.787964e-02,4.005307e-09
2.264549e-01,-1.485209e+00,8.269681e-03,2.067895e-02,6.866029e-04,1.999234e-02,6.311682e-09
2.414442e-01,-1.421117e+00,7.891569e-03,2.275295e-02,5.412759e-04,2.221166e-02,9.882501e-09
2.574257e-01,-1.357024e+00,7.478651e-03,2.494346e-02,4.239789e-04,2.451947e-02,1.537450e-08
2.744649e-01,-1.292932e+00,7.036078e-03,2.722387e-02,3.299759e-04,2.689387e-02,2.376555e-08
2.926321e-01,-1.228839e+00,6.569462e-03,2.956469e-02,2.551718e-04,2.930949e-02,3.650119e-08
3.120017e-01,-1.164747e+00,6.084736e-03,3.193382e-02,1.960630e-04,3.173770e-02,5.570302e-08
3.326534e-01,-1.100654e+00,5.588047e-03,3.429698e-02,1.496825e-04,3.414722e-02,8.446230e-08
3.546721e-01,-1.036562e+00,5.085446e-03,3.661827e-02,1.135426e-04,3.650460e-02,1.272505e-07
3.781482e-01,-9.724692e-01,4.583023e-03,3.886081e-02,8.557745e-05,3.877504e-02,1.904884e-07
4.031782e-01,-9.083767e-01,4.087173e-03,4.098756e-02,6.408733e-05,4.092319e-02,2.833284e-07
4.298650e-01,-8.442842e-01,3.603701e-03,4.296213e-02,4.768673e-05,4.291402e-02,4.187205e-07
4.583182e-01,-7.801916e-01,3.138296e-03,4.474965e-02,3.525619e-05,4.471378e-02,6.148522e-07
4.886547e-01,-7.160991e-01,2.697099e-03,4.631773e-02,2.589915e-05,4.629094e-02,8.970770e-07
5.209993e-01,-6.520066e-01,2.285251e-03,4.763732e-02,1.890377e-05,4.761712e-02,1.300473e-06
5.554848e-01,-5.879141e-01,1.906105e-03,4.868349e-02,1.370956e-05,4.866791e-02,1.873204e-06
5.922529e-01,-5.238216e-01,1.563293e-03,4.943620e-02,9.878961e-06,4.942364e-02,2.680906e-06
6.314547e-01,-4.597291e-01,1.262022e-03,4.988087e-02,7.073126e-06,4.986999e-02,3.812330e-06
6.732513e-01,-3.956366e-01,1.007240e-03,5.000884e-02,5.031808e-06,4.999842e-02,5.386564e-06
7.178145e-01,-3.315441e-01,8.010467e-04,4.981759e-02,3.556716e-06,4.980647e-02,7.562156e-06
7.653274e-01,-2.674516e-01,6.412042e-04,4.931086e-02,2.497967e-06,4.929782e-02,1.054853e-05
